TestDataID,Rating
1,4.44225
2,4.35613
3,4.25131
4,2.90543
5,3.48442
6,3.35806
7,4.51935
8,3.04735
9,3.21895
10,2.70242
11,4.37485
12,3.76789
13,3.57986
14,3.53214
15,3.22267
16,3.6008
17,3.83863
18,3.87681
19,4.12619
20,3.8161
21,3.33885
22,4.18527
23,3.8049
24,3.30385
25,4.11583
26,2.82586
27,3.87825
28,3.42209
29,1.99414
30,2.87937
31,2.63159
32,3.36084
33,3.15034
34,2.99025
35,4.4746
36,4.05583
37,4.25782
38,2.75667
39,3.75522
40,1.87873
41,3.79179
42,3.74859
43,3.07939
44,4.72312
45,3.79791
46,3.509
47,3.46891
48,3.93622
49,3.72116
50,3.79619
51,3.99587
52,3.72336
53,4.56754
54,4.50324
55,4.31783
56,3.73599
57,4.21657
58,2.77906
59,3.92147
60,4.01602
61,3.50096
62,4.16372
63,4.0734
64,4.41944
65,4.47931
66,3.70837
67,4.2498
68,4.2871
69,3.4208
70,4.38084
71,3.47464
72,4.48326
73,3.39004
74,4.23801
75,2.92687
76,3.17686
77,4.11548
78,4.43347
79,4.16125
80,4.32437
81,4.25021
82,3.69644
83,4.84956
84,4.98951
85,4.68663
86,4.01589
87,4.60501
88,4.41453
89,3.84264
90,4.16276
91,4.1578
92,4.14599
93,3.74082
94,4.5693
95,4.19044
96,4.67848
97,4.55437
98,4.21897
99,4.44338
100,4.72165
101,3.7122
102,4.2309
103,4.6666
104,4.18655
105,3.8964
106,4.14533
107,4.34672
108,4.8032
109,3.45344
110,3.86202
111,4.76286
112,4.60388
113,5.2157
114,3.56437
115,3.90743
116,2.41649
117,4.30045
118,3.19792
119,3.75253
120,2.29909
121,2.04218
122,3.08992
123,4.6348
124,2.65741
125,2.99927
126,5.1451
127,4.36418
128,4.45062
129,3.65293
130,2.89186
131,3.86883
132,3.76606
133,4.06232
134,4.4176
135,2.94151
136,3.95715
137,3.7063
138,3.60086
139,3.9415
140,3.18055
141,3.04432
142,3.68087
143,4.10349
144,3.40278
145,3.27497
146,2.97274
147,3.80019
148,4.04211
149,3.36271
150,3.03226
151,3.19911
152,3.45158
153,3.66867
154,2.71953
155,3.23504
156,3.21497
157,4.00148
158,4.04046
159,2.4501
160,4.05783
161,3.13262
162,3.04547
163,2.92934
164,3.13042
165,2.83592
166,3.28186
167,3.60093
168,3.65121
169,2.98958
170,4.9576
171,3.88673
172,4.6421
173,3.60463
174,4.45681
175,4.55147
176,4.47666
177,4.80802
178,4.88272
179,4.77052
180,2.9983
181,4.75124
182,4.48763
183,4.14723
184,3.57993
185,4.80236
186,4.40635
187,4.41886
188,3.49534
189,4.56687
190,4.38461
191,3.5661
192,4.24908
193,2.62707
194,4.63788
195,4.95213
196,2.69934
197,4.80109
198,4.21292
199,2.81934
200,4.43848
201,4.92416
202,4.82832
203,1.09948
204,4.16917
205,1.23913
206,3.70262
207,3.87084
208,4.71509
209,2.96281
210,4.43647
211,3.43442
212,3.72841
213,4.66494
214,1.95374
215,4.6544
216,1.68503
217,5.06971
218,3.70018
219,4.4907
220,1.84278
221,4.72365
222,4.27797
223,5.14442
224,4.83872
225,3.21742
226,4.37172
227,1.24399
228,2.73305
229,2.31151
230,5.14967
231,4.0545
232,3.00741
233,4.40134
234,3.91659
235,3.19588
236,5.11138
237,4.07743
238,3.90306
239,3.43118
240,3.62509
241,3.6533
242,3.3658
243,3.37875
244,4.33277
245,4.61781
246,4.10841
247,3.50117
248,2.97195
249,3.42407
250,3.68734
251,3.64508
252,4.46093
253,3.49161
254,3.95963
255,3.16583
256,3.30517
257,3.4121
258,2.86281
259,3.30718
260,2.94827
261,3.09322
262,3.08218
263,2.51043
264,3.60132
265,1.498
266,3.53917
267,3.95434
268,3.3829
269,4.32316
270,4.60867
271,2.65535
272,3.71762
273,2.90061
274,2.38225
275,3.86341
276,2.59641
277,2.38586
278,3.98115
279,3.06552
280,3.88792
281,3.39438
282,4.75468
283,3.48797
284,3.24539
285,3.71621
286,3.49493
287,2.9209
288,3.69617
289,3.27672
290,3.20545
291,2.84308
292,3.17378
293,3.31463
294,3.99104
295,3.06861
296,3.7613
297,3.40705
298,4.26661
299,3.75196
300,3.31638
301,3.69038
302,3.87812
303,3.6812
304,3.51763
305,3.34464
306,4.06021
307,3.46569
308,3.38894
309,3.32139
310,3.63389
311,3.76178
312,3.7071
313,3.1836
314,3.19176
315,2.96715
316,4.23642
317,2.89989
318,4.51557
319,3.17914
320,4.6927
321,3.97737
322,4.03973
323,3.656
324,4.02401
325,4.85362
326,4.3311
327,3.51268
328,3.23109
329,3.08915
330,3.58927
331,3.14755
332,3.67444
333,3.49933
334,3.98599
335,3.4721
336,2.87962
337,2.56225
338,2.47833
339,3.04185
340,2.97441
341,3.08146
342,1.93366
343,3.28334
344,2.87228
345,2.22511
346,2.93345
347,2.36719
348,3.29145
349,3.43248
350,2.52673
351,3.51966
352,3.50857
353,2.55938
354,3.3508
355,2.65042
356,3.60502
357,2.9729
358,1.79125
359,3.41992
360,2.07945
361,3.00843
362,3.48503
363,2.63587
364,2.1665
365,3.29801
366,2.80143
367,3.07133
368,2.8129
369,4.84099
370,4.78989
371,4.53143
372,4.74327
373,4.11975
374,3.89007
375,4.08746
376,3.88914
377,4.09618
378,4.24649
379,4.00244
380,3.51889
381,4.17146
382,3.38414
383,4.34053
384,3.01835
385,4.09473
386,3.57065
387,4.09157
388,3.43407
389,4.15545
390,4.11259
391,3.47077
392,3.34158
393,3.70061
394,3.69187
395,3.50372
396,3.30069
397,3.53016
398,3.56905
399,4.28774
400,3.70321
401,3.44757
402,3.54208
403,3.40757
404,3.63944
405,3.546
406,3.43131
407,4.02946
408,4.261
409,3.43428
410,4.07521
411,3.57029
412,4.87177
413,4.13031
414,3.84414
415,3.50837
416,3.62564
417,3.56857
418,3.99742
419,3.97363
420,2.69819
421,3.56336
422,3.757
423,3.80341
424,3.77524
425,4.51339
426,3.59309
427,4.11707
428,3.63188
429,4.23891
430,3.76744
431,3.69098
432,3.59184
433,3.38856
434,2.99824
435,3.23226
436,3.42168
437,3.2572
438,4.38744
439,3.08331
440,3.07139
441,3.77068
442,3.81157
443,3.73319
444,3.30546
445,3.227
446,3.53682
447,3.76937
448,3.63156
449,3.82928
450,4.23565
451,3.22641
452,3.03313
453,3.52342
454,3.96958
455,3.05076
456,3.20697
457,3.44782
458,3.16993
459,3.58825
460,3.43284
461,3.26394
462,4.19225
463,3.53346
464,3.93214
465,4.02476
466,4.55441
467,3.00516
468,3.77783
469,3.48598
470,4.00063
471,3.6419
472,3.49524
473,3.34475
474,4.04276
475,3.28363
476,2.85158
477,3.8927
478,3.41476
479,3.69676
480,3.50294
481,3.07603
482,3.54372
483,4.43031
484,4.6832
485,5.43612
486,3.9659
487,4.45368
488,4.4554
489,4.09281
490,3.31967
491,4.55744
492,3.84669
493,4.00655
494,4.04884
495,3.1742
496,3.35521
497,4.04064
498,2.58424
499,3.16034
500,3.71223
501,4.48661
502,4.05811
503,3.72515
504,4.2394
505,3.80816
506,3.74909
507,4.36835
508,4.28351
509,4.14556
510,3.81409
511,4.27706
512,4.39622
513,4.08988
514,3.86164
515,4.13537
516,4.00078
517,4.43015
518,4.02855
519,5.30928
520,3.73707
521,3.99708
522,4.35271
523,4.13707
524,3.50287
525,3.76912
526,3.94553
527,3.70458
528,4.26352
529,4.51879
530,3.9343
531,4.08452
532,4.53444
533,4.07228
534,5.09122
535,4.0943
536,3.54035
537,2.24398
538,4.16553
539,3.91274
540,3.62588
541,3.90672
542,4.06764
543,3.09647
544,2.67193
545,2.0643
546,3.17359
547,3.34516
548,3.07055
549,3.20685
550,2.66804
551,3.99921
552,2.27625
553,3.69149
554,1.81766
555,4.69876
556,3.33955
557,4.52346
558,3.63331
559,3.74696
560,3.65128
561,4.17611
562,2.9001
563,3.27947
564,3.5524
565,3.61954
566,3.55197
567,4.58814
568,3.55408
569,3.53641
570,3.5447
571,4.18381
572,3.15915
573,4.28357
574,3.26678
575,3.90953
576,3.95851
577,3.86127
578,3.83595
579,4.04729
580,3.30333
581,4.89254
582,3.91173
583,4.16109
584,3.7769
585,4.15192
586,4.01591
587,4.28647
588,3.55603
589,3.34676
590,3.77866
591,4.1368
592,4.48739
593,3.74958
594,3.43611
595,3.43371
596,4.04692
597,4.04642
598,3.67069
599,3.65591
600,3.47046
601,4.72584
602,3.42723
603,3.70131
604,3.74343
605,3.50668
606,3.55784
607,4.20692
608,3.46796
609,3.14784
610,4.04661
611,4.70053
612,3.31319
613,3.83433
614,3.27984
615,2.26096
616,2.73182
617,2.91372
618,2.74991
619,3.06412
620,4.6006
621,2.94357
622,3.04789
623,2.82926
624,2.56684
625,2.68347
626,2.4921
627,3.36521
628,2.29887
629,3.34769
630,3.35901
631,2.61059
632,3.67247
633,2.76567
634,3.22395
635,2.5166
636,3.71002
637,3.57739
638,3.51915
639,2.68974
640,3.04755
641,2.81912
642,3.90331
643,3.22447
644,5.06924
645,4.97309
646,4.22655
647,4.14055
648,3.98742
649,2.63044
650,3.76487
651,3.17286
652,2.92667
653,2.61951
654,3.55957
655,3.70791
656,3.20048
657,4.09554
658,2.32783
659,2.09171
660,3.40259
661,3.79767
662,3.64671
663,3.73339
664,2.54444
665,4.07275
666,2.72217
667,3.13353
668,2.81987
669,3.19805
670,3.04923
671,3.97077
672,3.19027
673,3.03264
674,2.96454
675,1.89382
676,2.30695
677,2.86087
678,2.44625
679,3.48322
680,2.48067
681,1.71895
682,2.47825
683,2.58612
684,3.66119
685,2.60402
686,2.87836
687,1.78053
688,1.82414
689,2.28382
690,1.8952
691,3.60906
692,3.58053
693,3.39914
694,3.9453
695,3.01956
696,3.10728
697,3.03138
698,3.28969
699,3.76635
700,4.80105
701,1.99287
702,2.94912
703,3.98744
704,3.34765
705,3.97049
706,3.15047
707,3.82433
708,3.42545
709,3.96579
710,3.34338
711,3.58861
712,4.18986
713,3.84016
714,3.4881
715,3.26463
