SetId,LogDim
0,3.82864139649
1,3.55534806149
2,4.06044301055
3,2.77258872224
4,3.93182563272
5,2.83321334406
6,3.58351893846
7,2.3978952728
8,2.63905732962
9,3.7135720667
10,3.89182029811
11,3.68887945411
12,3.78418963392
13,2.30258509299
14,4.07753744391
15,1.09861228867
16,3.98898404656
17,3.17805383035
18,3.87120101091
19,4.02535169074
20,1.09861228867
21,3.43398720449
22,3.66356164613
23,2.56494935746
24,3.21887582487
25,3.89182029811
26,3.61091791264
27,3.43398720449
28,3.25809653802
29,2.99573227355
30,2.99573227355
31,3.63758615973
32,2.99573227355
33,3.58351893846
34,4.06044301055
35,3.73766961828
36,1.38629436112
37,2.63905732962
38,3.97029191355
39,3.40119738166
40,3.91202300543
41,3.93182563272
42,3.40119738166
43,4.02535169074
44,3.49650756147
45,2.63905732962
46,2.7080502011
47,3.66356164613
48,3.49650756147
49,3.7135720667
50,0.69314718056
51,1.38629436112
52,2.19722457734
53,2.19722457734
54,3.33220451018
55,3.85014760171
56,2.56494935746
57,3.95124371858
58,3.93182563272
59,1.60943791243
60,3.76120011569
61,4.00733318523
62,4.06044301055
63,3.82864139649
64,3.68887945411
65,2.77258872224
66,4.06044301055
67,3.78418963392
68,3.95124371858
69,2.94443897917
70,3.4657359028
71,1.38629436112
72,1.09861228867
73,1.94591014906
74,2.07944154168
75,3.61091791264
76,4.07753744391
77,4.06044301055
78,4.04305126783
79,3.63758615973
80,4.06044301055
81,3.93182563272
82,3.43398720449
83,3.4657359028
84,3.93182563272
85,2.77258872224
86,2.30258509299
87,4.06044301055
88,2.48490664979
89,2.19722457734
90,2.19722457734
91,2.30258509299
92,1.79175946923
93,4.06044301055
94,2.3978952728
95,1.79175946923
96,3.36729582999
97,3.52636052462
98,4.04305126783
99,1.38629436112
100,3.91202300543
101,1.38629436112
102,2.19722457734
103,4.07753744391
104,4.09434456222
105,3.61091791264
106,3.61091791264
107,3.73766961828
108,1.94591014906
109,3.33220451018
110,2.48490664979
111,3.43398720449
112,3.25809653802
113,3.89182029811
114,3.09104245336
115,3.76120011569
116,2.30258509299
117,3.61091791264
118,4.04305126783
119,4.06044301055
120,2.07944154168
121,4.02535169074
122,3.76120011569
123,0.0
124,3.04452243772
125,3.78418963392
126,3.40119738166
127,2.7080502011
128,3.63758615973
129,0.69314718056
130,2.77258872224
131,3.43398720449
132,2.07944154168
133,3.40119738166
134,3.04452243772
135,3.95124371858
136,3.68887945411
137,3.78418963392
138,4.04305126783
139,3.91202300543
140,3.95124371858
141,2.99573227355
142,3.97029191355
143,2.7080502011
144,3.78418963392
145,3.58351893846
146,2.56494935746
147,3.25809653802
148,3.04452243772
149,3.40119738166
150,3.89182029811
151,3.61091791264
152,2.07944154168
153,3.63758615973
154,1.79175946923
155,3.85014760171
156,3.89182029811
157,2.8903717579
158,3.91202300543
159,2.63905732962
160,4.06044301055
161,2.30258509299
162,2.48490664979
163,0.69314718056
164,2.8903717579
165,3.89182029811
166,2.7080502011
167,3.09104245336
168,3.93182563272
169,2.19722457734
170,3.04452243772
171,3.85014760171
172,2.94443897917
173,4.06044301055
174,3.82864139649
175,2.99573227355
176,3.25809653802
177,0.0
178,3.97029191355
179,3.33220451018
180,3.55534806149
181,2.3978952728
182,4.07753744391
183,4.07753744391
184,3.04452243772
185,3.295836866
186,3.78418963392
187,3.73766961828
188,4.07753744391
189,3.21887582487
190,2.63905732962
191,3.7135720667
192,3.93182563272
193,3.68887945411
194,3.93182563272
195,2.30258509299
196,3.55534806149
197,2.77258872224
198,2.30258509299
199,3.63758615973
